instance_name,m,n,w,total_golfers,problem_size,sat_runtime,sat_result
sgp_3_3_3.txt,3,3,3,9,27,0.0007559999999999,3.0
sgp_3_3_4.txt,3,3,4,9,36,0.002836,4.0
sgp_4_3_3.txt,4,3,3,12,36,0.0019839999999931,3.0
sgp_4_3_4.txt,4,3,4,12,48,0.0088470000000029,4.0
sgp_4_3_5.txt,4,3,5,12,60,,
sgp_4_4_3.txt,4,4,3,16,48,0.0066469999999867,3.0
sgp_4_4_4.txt,4,4,4,16,64,0.0118630000000052,4.0
sgp_4_4_5.txt,4,4,5,16,80,0.0931149999999999,5.0
sgp_5_3_3.txt,5,3,3,15,45,0.002735,3.0
sgp_5_3_4.txt,5,3,4,15,60,0.004275,4.0
sgp_5_3_6.txt,5,3,6,15,90,30.280638,6.0
sgp_5_3_7.txt,5,3,7,15,105,,
sgp_5_4_3.txt,5,4,3,20,60,0.0050719999999842,3.0
sgp_5_4_4.txt,5,4,4,20,80,0.0291969999999537,4.0
sgp_5_4_5.txt,5,4,5,20,100,4.511439999999993,5.0
sgp_5_4_6.txt,5,4,6,20,120,,
sgp_5_5_3.txt,5,5,3,25,75,0.0176920000001246,3.0
sgp_5_5_4.txt,5,5,4,25,100,0.0921139999999999,4.0
sgp_5_5_5.txt,5,5,5,25,125,3.7214519999999993,5.0
sgp_5_5_6.txt,5,5,6,25,150,33.984594,6.0
sgp_6_3_3.txt,6,3,3,18,54,0.005552,3.0
sgp_6_3_4.txt,6,3,4,18,72,0.0075479999999999,4.0
sgp_6_3_7.txt,6,3,7,18,126,24.281562,7.0
sgp_6_3_8.txt,6,3,8,18,144,,
sgp_6_4_3.txt,6,4,3,24,72,0.0094009999999999,3.0
sgp_6_4_4.txt,6,4,4,24,96,0.016533,4.0
sgp_6_4_6.txt,6,4,6,24,144,,
sgp_6_4_7.txt,6,4,7,24,168,,
sgp_6_5_3.txt,6,5,3,30,90,0.0136989999999999,3.0
sgp_6_5_4.txt,6,5,4,30,120,13.966203,4.0
sgp_6_5_6.txt,6,5,6,30,180,,
sgp_6_5_7.txt,6,5,7,30,210,,
sgp_6_6_3.txt,6,6,3,36,108,0.0216509999999999,3.0
sgp_6_6_4.txt,6,6,4,36,144,,
sgp_6_6_6.txt,6,6,6,36,216,,
sgp_6_6_7.txt,6,6,7,36,252,,
sgp_7_3_10.txt,7,3,10,21,210,,
sgp_7_3_3.txt,7,3,3,21,63,0.00475,3.0
sgp_7_3_4.txt,7,3,4,21,84,0.013695,4.0
sgp_7_3_9.txt,7,3,9,21,189,,
sgp_7_4_3.txt,7,4,3,28,84,0.011715,3.0
sgp_7_4_4.txt,7,4,4,28,112,0.022807,4.0
sgp_7_4_8.txt,7,4,8,28,224,,
sgp_7_4_9.txt,7,4,9,28,252,,
sgp_7_5_3.txt,7,5,3,35,105,0.0229289999999999,3.0
sgp_7_5_4.txt,7,5,4,35,140,0.0392079999999999,4.0
sgp_7_5_7.txt,7,5,7,35,245,,
sgp_7_5_8.txt,7,5,8,35,280,,
sgp_7_6_3.txt,7,6,3,42,126,0.0256400000000001,3.0
sgp_7_6_4.txt,7,6,4,42,168,,
sgp_7_6_7.txt,7,6,7,42,294,,
sgp_7_6_8.txt,7,6,8,42,336,,
sgp_7_7_3.txt,7,7,3,49,147,0.0706029999999999,3.0
sgp_7_7_4.txt,7,7,4,49,196,,
sgp_7_7_7.txt,7,7,7,49,343,,
sgp_7_7_8.txt,7,7,8,49,392,,
sgp_8_3_10.txt,8,3,10,24,240,,
sgp_8_3_11.txt,8,3,11,24,264,,
sgp_8_3_3.txt,8,3,3,24,72,0.010766,3.0
sgp_8_3_4.txt,8,3,4,24,96,0.008411,4.0
sgp_8_4_10.txt,8,4,10,32,320,,
sgp_8_4_3.txt,8,4,3,32,96,0.010973,3.0
sgp_8_4_4.txt,8,4,4,32,128,0.0201649999999999,4.0
sgp_8_4_6.txt,8,4,6,32,192,0.0832109999999999,6.0
sgp_8_4_7.txt,8,4,7,32,224,,
sgp_8_4_8.txt,8,4,8,32,256,,
sgp_8_4_9.txt,8,4,9,32,288,,
sgp_8_5_3.txt,8,5,3,40,120,0.024545,3.0
sgp_8_5_4.txt,8,5,4,40,160,0.052273,4.0
sgp_8_5_8.txt,8,5,8,40,320,,
sgp_8_5_9.txt,8,5,9,40,360,,
sgp_8_6_3.txt,8,6,3,48,144,0.041865,3.0
sgp_8_6_4.txt,8,6,4,48,192,41.298991,4.0
sgp_8_6_8.txt,8,6,8,48,384,,
sgp_8_6_9.txt,8,6,9,48,432,,
